year,China,France,Germany,India,Italy,Japan,Russia,Saudi Arabia,USSR,United Kingdom,United States
1988,0.0,56.68,67.19,21.06,33.22,30.47,0.0,26.8,282.92,74.43,821.4
1989,19.91,57.37,67.01,22.19,33.48,31.79,0.0,25.32,262.34,75.08,814.46
1990,21.64,57.12,70.62,21.86,32.21,33.35,0.0,31.82,221.93,75.19,780.58
1991,23.0,57.49,65.35,20.41,32.66,34.19,0.0,30.35,0.0,76.06,689.54
1992,27.97,55.68,62.16,19.51,31.72,34.7,47.46,28.52,0.0,71.04,726.64
1993,25.72,55.06,55.88,22.03,31.89,34.56,41.49,30.23,0.0,67.8,687.75
1994,24.75,55.35,52.11,22.13,31.1,34.55,39.22,26.09,0.0,65.93,652.0
1995,25.71,52.61,51.25,22.8,28.41,35.12,25.81,23.0,0.0,61.84,609.03
1996,27.23,51.36,50.25,23.21,31.3,35.76,24.37,22.96,0.0,61.25,575.9
1997,29.05,51.54,48.4,25.69,32.82,36.07,26.64,31.18,0.0,59.07,572.92
1998,31.72,50.17,48.56,26.81,33.91,36.11,15.84,36.02,0.0,59.26,559.98
1999,38.67,50.59,49.55,31.15,35.23,35.92,17.59,32.06,0.0,58.95,561.36
2000,41.86,50.02,48.76,32.14,37.58,36.11,23.74,35.34,0.0,60.14,583.09
2001,49.63,49.87,47.96,33.26,36.96,36.74,25.65,37.64,0.0,62.52,587.82
2002,57.01,50.89,48.09,33.16,37.97,36.92,28.42,33.04,0.0,66.23,660.01
2003,61.7,52.43,47.44,33.9,38.28,36.97,29.8,33.27,0.0,70.95,751.2
2004,67.96,53.86,45.98,39.38,38.41,36.82,31.14,36.92,0.0,71.83,818.75
2005,74.62,52.76,45.27,41.91,36.95,36.76,35.39,44.58,0.0,72.5,856.46
2006,85.9,53.0,44.46,42.25,35.76,36.29,39.17,50.79,0.0,72.83,868.8
2007,94.42,52.98,44.53,42.76,34.73,35.81,42.64,58.5,0.0,74.82,891.99
2008,103.31,52.59,45.58,48.5,36.17,35.47,46.85,57.42,0.0,78.09,956.87
2009,125.36,56.48,47.31,57.1,34.99,36.13,49.16,59.01,0.0,79.34,1032.17
2010,131.54,53.81,47.42,57.33,33.99,36.26,50.16,61.41,0.0,78.01,1061.67
2011,141.21,52.21,46.46,57.86,33.28,36.75,53.53,62.25,0.0,75.37,1049.1
2012,155.71,51.4,47.79,57.56,30.77,36.31,62.02,70.45,0.0,73.28,990.83
2013,168.37,51.07,46.02,57.6,29.59,36.16,65.04,80.73,0.0,70.6,914.62
2014,181.81,51.96,46.08,60.41,26.77,36.55,69.71,95.15,0.0,69.34,858.36
2015,196.09,53.38,46.87,60.98,25.65,37.19,75.13,101.48,0.0,66.67,838.87
2016,207.38,53.5,48.9,67.2,28.93,36.97,80.55,72.62,0.0,66.44,836.29
2017,220.13,54.39,50.31,71.94,28.98,36.72,65.27,80.97,0.0,66.56,827.67
2018,233.02,54.7,51.69,74.47,30.01,38.57,62.81,83.75,0.0,67.06,852.59
2019,244.38,56.07,56.7,79.73,28.61,39.67,65.62,74.25,0.0,69.85,901.03
2020,255.89,58.04,60.42,80.21,35.33,39.33,67.17,70.95,0.0,70.96,943.45
2021,262.56,60.51,59.89,79.7,37.01,42.28,68.5,67.38,0.0,72.05,933.33
2022,274.16,60.19,62.5,83.22,36.95,39.77,88.68,73.8,0.0,73.19,922.55
2023,292.22,60.79,70.2,85.23,35.92,45.86,108.96,79.08,0.0,78.17,943.03
2024,311.9,63.57,86.15,85.6,37.85,54.25,149.4,80.33,0.0,89.81,1004.9
2025,335.02,64.52,106.73,93.25,45.44,59.49,158.24,81.47,0.0,87.98,929.16
