year,top_spender,top_spending_B,fastest_growing,fastest_growth_B,fastest_growth_pct
1989,United States,814.46,Japan,1.32,4.3
1990,United States,780.58,Saudi Arabia,6.5,25.7
1991,United States,689.54,China,1.36,6.3
1992,United States,726.64,United States,37.1,5.4
1993,United States,687.75,India,2.52,12.9
1994,United States,652.0,France,0.29,0.5
1995,United States,609.03,China,0.96,3.9
1996,United States,575.9,Italy,2.89,10.2
1997,United States,572.92,Saudi Arabia,8.22,35.8
1998,United States,559.98,Saudi Arabia,4.84,15.5
1999,United States,561.36,China,6.95,21.9
2000,United States,583.09,United States,21.73,3.9
2001,United States,587.82,China,7.77,18.6
2002,United States,660.01,United States,72.19,12.3
2003,United States,751.2,United States,91.19,13.8
2004,United States,818.75,United States,67.55,9.0
2005,United States,856.46,United States,37.71,4.6
2006,United States,868.8,United States,12.34,1.4
2007,United States,891.99,United States,23.19,2.7
2008,United States,956.87,United States,64.88,7.3
2009,United States,1032.17,United States,75.3,7.9
2010,United States,1061.67,United States,29.5,2.9
2011,United States,1049.1,China,9.67,7.4
2012,United States,990.83,China,14.5,10.3
2013,United States,914.62,China,12.66,8.1
2014,United States,858.36,Saudi Arabia,14.42,17.9
2015,United States,838.87,China,14.28,7.9
2016,United States,836.29,China,11.29,5.8
2017,United States,827.67,China,12.75,6.1
2018,United States,852.59,United States,24.92,3.0
2019,United States,901.03,United States,48.44,5.7
2020,United States,943.45,United States,42.42,4.7
2021,United States,933.33,China,6.67,2.6
2022,United States,922.55,Russia,20.18,29.5
2023,United States,943.03,United States,20.48,2.2
2024,United States,1004.9,United States,61.87,6.6
2025,United States,929.16,China,23.12,7.4
